,Algorithm,Size,Threatened_Queens,Amount_of_explored_states,Time
122,GENETIC,4,4,40,0.007721424102783203
123,HILL_CLIMBING,8,3,3,0.10555672645568848
124,SIM_ANNEALING,8,0,82,0.010173559188842773
125,GENETIC,8,5,80,0.6384828090667725
126,HILL_CLIMBING,12,2,8,1.3642163276672363
127,SIM_ANNEALING,12,3,101,0.07366633415222168
128,GENETIC,12,9,120,1.3893492221832275
129,HILL_CLIMBING,8,2,5,0.16750121116638184
130,SIM_ANNEALING,8,3,101,0.010011672973632812
131,GENETIC,8,6,80,0.298520565032959
132,HILL_CLIMBING,10,4,3,0.2576913833618164
133,SIM_ANNEALING,10,4,134,0.042557477951049805
134,GENETIC,10,7,100,0.8862371444702148
135,HILL_CLIMBING,15,5,4,3.01480770111084
136,SIM_ANNEALING,15,5,167,0.41101765632629395
137,GENETIC,15,11,150,3.5614662170410156
138,HILL_CLIMBING,8,2,4,0.11179041862487793
139,SIM_ANNEALING,8,2,72,0.009032964706420898
140,GENETIC,8,6,80,0.32038021087646484
141,HILL_CLIMBING,8,2,4,0.06804275512695312
142,SIM_ANNEALING,8,3,101,0.19270038604736328
143,GENETIC,8,5,80,0.19220471382141113
144,HILL_CLIMBING,10,4,3,0.3099033832550049
145,SIM_ANNEALING,10,2,81,0.012447118759155273
146,GENETIC,10,7,100,0.8746695518493652
147,HILL_CLIMBING,8,2,4,0.15433645248413086
148,SIM_ANNEALING,8,2,67,0.0026357173919677734
149,GENETIC,8,6,80,0.30826878547668457
150,HILL_CLIMBING,8,2,3,0.1279921531677246
151,SIM_ANNEALING,8,2,67,0.03127622604370117
152,GENETIC,8,6,80,0.31015658378601074
153,HILL_CLIMBING,8,2,5,0.11092519760131836
154,SIM_ANNEALING,8,2,75,0.00934743881225586
155,GENETIC,8,6,80,0.22401118278503418
156,HILL_CLIMBING,10,2,6,0.3570067882537842
157,SIM_ANNEALING,10,3,101,0.05935335159301758
158,GENETIC,10,7,100,0.8213789463043213
159,HILL_CLIMBING,12,2,7,1.2194910049438477
160,SIM_ANNEALING,12,4,157,0.2996714115142822
161,GENETIC,12,10,120,1.6207325458526611
162,HILL_CLIMBING,8,2,4,0.09987664222717285
163,SIM_ANNEALING,8,3,101,0.011871337890625
164,GENETIC,8,5,80,0.2868194580078125
165,HILL_CLIMBING,8,4,2,0.07245707511901855
166,SIM_ANNEALING,8,3,101,0.029962539672851562
167,GENETIC,8,6,80,0.36434221267700195
168,HILL_CLIMBING,10,6,2,0.08593344688415527
169,SIM_ANNEALING,10,2,67,0.05398893356323242
170,GENETIC,10,8,100,0.8313617706298828
171,HILL_CLIMBING,8,3,4,0.06570720672607422
