,Algorithm,Size,State,It,Value
150,GENETIC,10,BestState,76,5
151,GENETIC,10,WorstState,76,9
152,GENETIC,10,BestState,77,5
153,GENETIC,10,WorstState,77,8
154,GENETIC,10,BestState,78,5
155,GENETIC,10,WorstState,78,10
156,GENETIC,10,BestState,79,5
157,GENETIC,10,WorstState,79,10
158,GENETIC,10,BestState,80,4
159,GENETIC,10,WorstState,80,9
160,GENETIC,10,BestState,81,4
161,GENETIC,10,WorstState,81,10
162,GENETIC,10,BestState,82,3
163,GENETIC,10,WorstState,82,10
164,GENETIC,10,BestState,83,3
165,GENETIC,10,WorstState,83,10
166,GENETIC,10,BestState,84,2
167,GENETIC,10,WorstState,84,10
168,GENETIC,10,BestState,85,2
169,GENETIC,10,WorstState,85,9
170,GENETIC,10,BestState,86,2
171,GENETIC,10,WorstState,86,10
172,GENETIC,10,BestState,87,2
173,GENETIC,10,WorstState,87,9
174,GENETIC,10,BestState,88,2
175,GENETIC,10,WorstState,88,9
176,GENETIC,10,BestState,89,2
177,GENETIC,10,WorstState,89,10
178,GENETIC,10,BestState,90,2
179,GENETIC,10,WorstState,90,8
180,GENETIC,10,BestState,91,2
181,GENETIC,10,WorstState,91,8
182,GENETIC,10,BestState,92,2
183,GENETIC,10,WorstState,92,9
184,GENETIC,10,BestState,93,2
185,GENETIC,10,WorstState,93,9
186,GENETIC,10,BestState,94,2
187,GENETIC,10,WorstState,94,10
188,GENETIC,10,BestState,95,2
189,GENETIC,10,WorstState,95,9
190,GENETIC,10,BestState,96,2
191,GENETIC,10,WorstState,96,8
192,GENETIC,10,BestState,97,2
193,GENETIC,10,WorstState,97,9
194,GENETIC,10,BestState,98,2
195,GENETIC,10,WorstState,98,9
196,GENETIC,10,BestState,99,2
197,GENETIC,10,WorstState,99,9
198,GENETIC,10,BestState,100,2
199,GENETIC,10,WorstState,100,9
200,GENETIC,10,BestState,101,7
201,GENETIC,10,WorstState,101,10
202,GENETIC,10,BestState,102,6
203,GENETIC,10,WorstState,102,10
204,GENETIC,10,BestState,103,6
205,GENETIC,10,WorstState,103,10
206,GENETIC,10,BestState,104,6
207,GENETIC,10,WorstState,104,9
208,GENETIC,10,BestState,105,5
209,GENETIC,10,WorstState,105,10
210,GENETIC,10,BestState,106,5
211,GENETIC,10,WorstState,106,10
212,GENETIC,10,BestState,107,5
213,GENETIC,10,WorstState,107,10
214,GENETIC,10,BestState,108,4
215,GENETIC,10,WorstState,108,10
216,GENETIC,10,BestState,109,5
217,GENETIC,10,WorstState,109,10
218,GENETIC,10,BestState,110,5
219,GENETIC,10,WorstState,110,10
220,GENETIC,10,BestState,111,5
221,GENETIC,10,WorstState,111,9
222,GENETIC,10,BestState,112,5
223,GENETIC,10,WorstState,112,9
224,GENETIC,10,BestState,113,3
225,GENETIC,10,WorstState,113,10
226,GENETIC,10,BestState,114,3
227,GENETIC,10,WorstState,114,10
228,GENETIC,10,BestState,115,3
229,GENETIC,10,WorstState,115,10
230,GENETIC,10,BestState,116,5
231,GENETIC,10,WorstState,116,9
232,GENETIC,10,BestState,117,3
233,GENETIC,10,WorstState,117,9
234,GENETIC,10,BestState,118,3
235,GENETIC,10,WorstState,118,10
236,GENETIC,10,BestState,119,5
237,GENETIC,10,WorstState,119,10
238,GENETIC,10,BestState,120,5
239,GENETIC,10,WorstState,120,10
240,GENETIC,10,BestState,121,5
241,GENETIC,10,WorstState,121,9
242,GENETIC,10,BestState,122,5
243,GENETIC,10,WorstState,122,10
244,GENETIC,10,BestState,123,5
245,GENETIC,10,WorstState,123,9
246,GENETIC,10,BestState,124,4
247,GENETIC,10,WorstState,124,10
248,GENETIC,10,BestState,125,4
249,GENETIC,10,WorstState,125,10
250,GENETIC,10,BestState,126,4
251,GENETIC,10,WorstState,126,10
252,GENETIC,10,BestState,127,3
253,GENETIC,10,WorstState,127,9
254,GENETIC,10,BestState,128,4
255,GENETIC,10,WorstState,128,10
256,GENETIC,10,BestState,129,3
257,GENETIC,10,WorstState,129,10
258,GENETIC,10,BestState,130,3
259,GENETIC,10,WorstState,130,10
260,GENETIC,10,BestState,131,3
261,GENETIC,10,WorstState,131,9
262,GENETIC,10,BestState,132,5
263,GENETIC,10,WorstState,132,9
264,GENETIC,10,BestState,133,4
265,GENETIC,10,WorstState,133,10
266,GENETIC,10,BestState,134,4
267,GENETIC,10,WorstState,134,10
268,GENETIC,10,BestState,135,4
269,GENETIC,10,WorstState,135,10
270,GENETIC,10,BestState,136,4
271,GENETIC,10,WorstState,136,10
272,GENETIC,10,BestState,137,4
273,GENETIC,10,WorstState,137,9
274,GENETIC,10,BestState,138,5
275,GENETIC,10,WorstState,138,10
276,GENETIC,10,BestState,139,4
277,GENETIC,10,WorstState,139,10
278,GENETIC,10,BestState,140,4
279,GENETIC,10,WorstState,140,10
280,GENETIC,10,BestState,141,4
281,GENETIC,10,WorstState,141,9
282,GENETIC,10,BestState,142,4
283,GENETIC,10,WorstState,142,10
284,GENETIC,10,BestState,143,4
285,GENETIC,10,WorstState,143,10
286,GENETIC,10,BestState,144,4
287,GENETIC,10,WorstState,144,10
288,GENETIC,10,BestState,145,4
289,GENETIC,10,WorstState,145,9
290,GENETIC,10,BestState,146,4
291,GENETIC,10,WorstState,146,10
292,GENETIC,10,BestState,147,4
293,GENETIC,10,WorstState,147,9
294,GENETIC,10,BestState,148,4
295,GENETIC,10,WorstState,148,10
296,GENETIC,10,BestState,149,4
297,GENETIC,10,WorstState,149,9
298,GENETIC,10,BestState,150,4
299,GENETIC,10,WorstState,150,9
300,GENETIC,10,BestState,151,3
301,GENETIC,10,WorstState,151,9
302,GENETIC,10,BestState,152,3
303,GENETIC,10,WorstState,152,9
304,GENETIC,10,BestState,153,4
305,GENETIC,10,WorstState,153,10
306,GENETIC,10,BestState,154,5
307,GENETIC,10,WorstState,154,10
308,GENETIC,10,BestState,155,5
309,GENETIC,10,WorstState,155,8
310,GENETIC,10,BestState,156,4
311,GENETIC,10,WorstState,156,9
312,GENETIC,10,BestState,157,5
313,GENETIC,10,WorstState,157,10
314,GENETIC,10,BestState,158,5
315,GENETIC,10,WorstState,158,10
316,GENETIC,10,BestState,159,5
317,GENETIC,10,WorstState,159,9
318,GENETIC,10,BestState,160,4
319,GENETIC,10,WorstState,160,10
320,GENETIC,10,BestState,161,4
321,GENETIC,10,WorstState,161,9
322,GENETIC,10,BestState,162,4
323,GENETIC,10,WorstState,162,9
324,GENETIC,10,BestState,163,4
325,GENETIC,10,WorstState,163,9
326,GENETIC,10,BestState,164,4
327,GENETIC,10,WorstState,164,10
328,GENETIC,10,BestState,165,4
329,GENETIC,10,WorstState,165,10
330,GENETIC,10,BestState,166,4
331,GENETIC,10,WorstState,166,9
332,GENETIC,10,BestState,167,4
333,GENETIC,10,WorstState,167,10
334,GENETIC,10,BestState,168,4
335,GENETIC,10,WorstState,168,9
336,GENETIC,10,BestState,169,4
337,GENETIC,10,WorstState,169,7
338,GENETIC,10,BestState,170,4
339,GENETIC,10,WorstState,170,10
340,GENETIC,10,BestState,171,4
341,GENETIC,10,WorstState,171,9
342,GENETIC,10,BestState,172,4
343,GENETIC,10,WorstState,172,10
344,GENETIC,10,BestState,173,4
345,GENETIC,10,WorstState,173,9
346,GENETIC,10,BestState,174,4
347,GENETIC,10,WorstState,174,8
348,GENETIC,10,BestState,175,4
349,GENETIC,10,WorstState,175,10
350,GENETIC,10,BestState,176,4
351,GENETIC,10,WorstState,176,10
352,GENETIC,10,BestState,177,5
353,GENETIC,10,WorstState,177,10
354,GENETIC,10,BestState,178,4
355,GENETIC,10,WorstState,178,10
356,GENETIC,10,BestState,179,4
357,GENETIC,10,WorstState,179,9
358,GENETIC,10,BestState,180,4
359,GENETIC,10,WorstState,180,10
360,GENETIC,10,BestState,181,4
361,GENETIC,10,WorstState,181,10
362,GENETIC,10,BestState,182,4
363,GENETIC,10,WorstState,182,10
364,GENETIC,10,BestState,183,5
365,GENETIC,10,WorstState,183,10
366,GENETIC,10,BestState,184,5
367,GENETIC,10,WorstState,184,9
368,GENETIC,10,BestState,185,5
369,GENETIC,10,WorstState,185,10
370,GENETIC,10,BestState,186,4
371,GENETIC,10,WorstState,186,9
372,GENETIC,10,BestState,187,5
373,GENETIC,10,WorstState,187,9
374,GENETIC,10,BestState,188,5
375,GENETIC,10,WorstState,188,9
376,GENETIC,10,BestState,189,5
377,GENETIC,10,WorstState,189,9
378,GENETIC,10,BestState,190,5
379,GENETIC,10,WorstState,190,9
380,GENETIC,10,BestState,191,5
381,GENETIC,10,WorstState,191,10
382,GENETIC,10,BestState,192,6
383,GENETIC,10,WorstState,192,9
384,GENETIC,10,BestState,193,5
385,GENETIC,10,WorstState,193,10
386,GENETIC,10,BestState,194,6
387,GENETIC,10,WorstState,194,10
388,GENETIC,10,BestState,195,6
389,GENETIC,10,WorstState,195,10
390,GENETIC,10,BestState,196,5
391,GENETIC,10,WorstState,196,10
392,GENETIC,10,BestState,197,3
393,GENETIC,10,WorstState,197,9
394,GENETIC,10,BestState,198,3
395,GENETIC,10,WorstState,198,9
396,GENETIC,10,BestState,199,3
397,GENETIC,10,WorstState,199,10
398,GENETIC,10,BestState,200,4
399,GENETIC,10,WorstState,200,10
400,GENETIC,10,BestState,201,5
401,GENETIC,10,WorstState,201,9
402,GENETIC,10,BestState,202,4
403,GENETIC,10,WorstState,202,10
404,GENETIC,10,BestState,203,4
405,GENETIC,10,WorstState,203,10
406,GENETIC,10,BestState,204,4
407,GENETIC,10,WorstState,204,10
408,GENETIC,10,BestState,205,4
409,GENETIC,10,WorstState,205,9
410,GENETIC,10,BestState,206,4
411,GENETIC,10,WorstState,206,10
412,GENETIC,10,BestState,207,4
413,GENETIC,10,WorstState,207,10
414,GENETIC,10,BestState,208,4
415,GENETIC,10,WorstState,208,9
416,GENETIC,10,BestState,209,4
417,GENETIC,10,WorstState,209,9
418,GENETIC,10,BestState,210,3
419,GENETIC,10,WorstState,210,9
420,GENETIC,10,BestState,211,4
421,GENETIC,10,WorstState,211,9
422,GENETIC,10,BestState,212,4
423,GENETIC,10,WorstState,212,9
424,GENETIC,10,BestState,213,4
425,GENETIC,10,WorstState,213,10
426,GENETIC,10,BestState,214,4
427,GENETIC,10,WorstState,214,9
428,GENETIC,10,BestState,215,3
429,GENETIC,10,WorstState,215,9
430,GENETIC,10,BestState,216,3
431,GENETIC,10,WorstState,216,10
432,GENETIC,10,BestState,217,3
433,GENETIC,10,WorstState,217,10
434,GENETIC,10,BestState,218,3
435,GENETIC,10,WorstState,218,10
436,GENETIC,10,BestState,219,3
437,GENETIC,10,WorstState,219,9
438,GENETIC,10,BestState,220,3
439,GENETIC,10,WorstState,220,9
440,GENETIC,10,BestState,221,3
441,GENETIC,10,WorstState,221,9
442,GENETIC,10,BestState,222,5
443,GENETIC,10,WorstState,222,10
444,GENETIC,10,BestState,223,5
445,GENETIC,10,WorstState,223,10
446,GENETIC,10,BestState,224,5
447,GENETIC,10,WorstState,224,9
448,GENETIC,10,BestState,225,5
449,GENETIC,10,WorstState,225,10
450,GENETIC,10,BestState,226,5
451,GENETIC,10,WorstState,226,10
452,GENETIC,10,BestState,227,5
453,GENETIC,10,WorstState,227,9
454,GENETIC,10,BestState,228,5
455,GENETIC,10,WorstState,228,10
456,GENETIC,10,BestState,229,6
457,GENETIC,10,WorstState,229,10
458,GENETIC,10,BestState,230,5
459,GENETIC,10,WorstState,230,9
460,GENETIC,10,BestState,231,5
461,GENETIC,10,WorstState,231,10
462,GENETIC,10,BestState,232,5
463,GENETIC,10,WorstState,232,10
464,GENETIC,10,BestState,233,5
465,GENETIC,10,WorstState,233,10
466,GENETIC,10,BestState,234,4
467,GENETIC,10,WorstState,234,10
468,GENETIC,10,BestState,235,4
469,GENETIC,10,WorstState,235,10
470,GENETIC,10,BestState,236,4
471,GENETIC,10,WorstState,236,10
472,GENETIC,10,BestState,237,4
473,GENETIC,10,WorstState,237,10
474,GENETIC,10,BestState,238,4
475,GENETIC,10,WorstState,238,9
476,GENETIC,10,BestState,239,4
477,GENETIC,10,WorstState,239,10
478,GENETIC,10,BestState,240,4
479,GENETIC,10,WorstState,240,9
480,GENETIC,10,BestState,241,4
481,GENETIC,10,WorstState,241,10
482,GENETIC,10,BestState,242,4
483,GENETIC,10,WorstState,242,10
484,GENETIC,10,BestState,243,4
485,GENETIC,10,WorstState,243,10
486,GENETIC,10,BestState,244,4
487,GENETIC,10,WorstState,244,8
488,GENETIC,10,BestState,245,4
489,GENETIC,10,WorstState,245,10
490,GENETIC,10,BestState,246,4
491,GENETIC,10,WorstState,246,10
492,GENETIC,10,BestState,247,4
493,GENETIC,10,WorstState,247,10
494,GENETIC,10,BestState,248,4
495,GENETIC,10,WorstState,248,10
496,GENETIC,10,BestState,249,4
497,GENETIC,10,WorstState,249,10
498,GENETIC,10,BestState,250,4
499,GENETIC,10,WorstState,250,9
500,GENETIC,10,BestState,251,4
501,GENETIC,10,WorstState,251,10
502,GENETIC,10,BestState,252,4
503,GENETIC,10,WorstState,252,10
504,GENETIC,10,BestState,253,3
505,GENETIC,10,WorstState,253,8
506,GENETIC,10,BestState,254,3
507,GENETIC,10,WorstState,254,9
508,GENETIC,10,BestState,255,3
509,GENETIC,10,WorstState,255,10
510,GENETIC,10,BestState,256,3
511,GENETIC,10,WorstState,256,9
512,GENETIC,10,BestState,257,3
513,GENETIC,10,WorstState,257,10
514,GENETIC,10,BestState,258,3
515,GENETIC,10,WorstState,258,9
516,GENETIC,10,BestState,259,3
517,GENETIC,10,WorstState,259,9
518,GENETIC,10,BestState,260,3
519,GENETIC,10,WorstState,260,10
520,GENETIC,10,BestState,261,3
521,GENETIC,10,WorstState,261,10
522,GENETIC,10,BestState,262,4
523,GENETIC,10,WorstState,262,10
524,GENETIC,10,BestState,263,3
525,GENETIC,10,WorstState,263,9
526,GENETIC,10,BestState,264,3
527,GENETIC,10,WorstState,264,9
528,GENETIC,10,BestState,265,3
529,GENETIC,10,WorstState,265,9
530,GENETIC,10,BestState,266,3
531,GENETIC,10,WorstState,266,9
532,GENETIC,10,BestState,267,3
533,GENETIC,10,WorstState,267,9
534,GENETIC,10,BestState,268,3
535,GENETIC,10,WorstState,268,9
536,GENETIC,10,BestState,269,3
537,GENETIC,10,WorstState,269,8
538,GENETIC,10,BestState,270,3
539,GENETIC,10,WorstState,270,10
540,GENETIC,10,BestState,271,3
541,GENETIC,10,WorstState,271,8
542,GENETIC,10,BestState,272,3
543,GENETIC,10,WorstState,272,9
544,GENETIC,10,BestState,273,3
545,GENETIC,10,WorstState,273,10
546,GENETIC,10,BestState,274,3
547,GENETIC,10,WorstState,274,9
548,GENETIC,10,BestState,275,3
549,GENETIC,10,WorstState,275,9
550,GENETIC,10,BestState,276,3
551,GENETIC,10,WorstState,276,8
552,GENETIC,10,BestState,277,3
553,GENETIC,10,WorstState,277,9
554,GENETIC,10,BestState,278,3
555,GENETIC,10,WorstState,278,10
556,GENETIC,10,BestState,279,3
557,GENETIC,10,WorstState,279,9
558,GENETIC,10,BestState,280,3
559,GENETIC,10,WorstState,280,10
560,GENETIC,10,BestState,281,3
561,GENETIC,10,WorstState,281,9
562,GENETIC,10,BestState,282,3
563,GENETIC,10,WorstState,282,9
564,GENETIC,10,BestState,283,3
565,GENETIC,10,WorstState,283,10
566,GENETIC,10,BestState,284,3
567,GENETIC,10,WorstState,284,9
568,GENETIC,10,BestState,285,3
569,GENETIC,10,WorstState,285,9
570,GENETIC,10,BestState,286,3
571,GENETIC,10,WorstState,286,10
572,GENETIC,10,BestState,287,3
573,GENETIC,10,WorstState,287,9
574,GENETIC,10,BestState,288,3
575,GENETIC,10,WorstState,288,10
576,GENETIC,10,BestState,289,3
577,GENETIC,10,WorstState,289,9
578,GENETIC,10,BestState,290,3
579,GENETIC,10,WorstState,290,9
580,GENETIC,10,BestState,291,3
581,GENETIC,10,WorstState,291,10
582,GENETIC,10,BestState,292,3
583,GENETIC,10,WorstState,292,9
584,GENETIC,10,BestState,293,3
585,GENETIC,10,WorstState,293,9
586,GENETIC,10,BestState,294,3
587,GENETIC,10,WorstState,294,9
588,GENETIC,10,BestState,295,3
589,GENETIC,10,WorstState,295,10
590,GENETIC,10,BestState,296,3
591,GENETIC,10,WorstState,296,10
592,GENETIC,10,BestState,297,3
593,GENETIC,10,WorstState,297,10
594,GENETIC,10,BestState,298,4
595,GENETIC,10,WorstState,298,10
596,GENETIC,10,BestState,299,4
597,GENETIC,10,WorstState,299,10
598,GENETIC,10,BestState,300,3
599,GENETIC,10,WorstState,300,10
600,GENETIC,10,BestState,301,3
601,GENETIC,10,WorstState,301,10
602,GENETIC,10,BestState,302,3
603,GENETIC,10,WorstState,302,10
604,GENETIC,10,BestState,303,4
605,GENETIC,10,WorstState,303,10
606,GENETIC,10,BestState,304,5
607,GENETIC,10,WorstState,304,10
608,GENETIC,10,BestState,305,5
609,GENETIC,10,WorstState,305,9
610,GENETIC,10,BestState,306,4
611,GENETIC,10,WorstState,306,9
612,GENETIC,10,BestState,307,4
613,GENETIC,10,WorstState,307,10
614,GENETIC,10,BestState,308,4
615,GENETIC,10,WorstState,308,10
616,GENETIC,10,BestState,309,2
617,GENETIC,10,WorstState,309,10
618,GENETIC,10,BestState,310,2
619,GENETIC,10,WorstState,310,10
620,GENETIC,10,BestState,311,2
621,GENETIC,10,WorstState,311,10
622,GENETIC,10,BestState,312,2
623,GENETIC,10,WorstState,312,10
624,GENETIC,10,BestState,313,2
625,GENETIC,10,WorstState,313,9
626,GENETIC,10,BestState,314,2
627,GENETIC,10,WorstState,314,8
628,GENETIC,10,BestState,315,2
629,GENETIC,10,WorstState,315,9
630,GENETIC,10,BestState,316,2
631,GENETIC,10,WorstState,316,10
632,GENETIC,10,BestState,317,3
633,GENETIC,10,WorstState,317,10
634,GENETIC,10,BestState,318,2
635,GENETIC,10,WorstState,318,10
636,GENETIC,10,BestState,319,2
637,GENETIC,10,WorstState,319,9
638,GENETIC,10,BestState,320,2
639,GENETIC,10,WorstState,320,10
640,GENETIC,10,BestState,321,2
641,GENETIC,10,WorstState,321,7
642,GENETIC,10,BestState,322,2
643,GENETIC,10,WorstState,322,9
644,GENETIC,10,BestState,323,2
645,GENETIC,10,WorstState,323,10
646,GENETIC,10,BestState,324,2
647,GENETIC,10,WorstState,324,10
648,GENETIC,10,BestState,325,2
649,GENETIC,10,WorstState,325,9
650,GENETIC,10,BestState,326,2
651,GENETIC,10,WorstState,326,8
652,GENETIC,10,BestState,327,2
653,GENETIC,10,WorstState,327,9
654,GENETIC,10,BestState,328,2
655,GENETIC,10,WorstState,328,10
656,GENETIC,10,BestState,329,2
657,GENETIC,10,WorstState,329,10
658,GENETIC,10,BestState,330,2
659,GENETIC,10,WorstState,330,9
660,GENETIC,10,BestState,331,2
661,GENETIC,10,WorstState,331,9
662,GENETIC,10,BestState,332,2
663,GENETIC,10,WorstState,332,8
664,GENETIC,10,BestState,333,2
665,GENETIC,10,WorstState,333,9
666,GENETIC,10,BestState,334,2
667,GENETIC,10,WorstState,334,8
668,GENETIC,10,BestState,335,2
669,GENETIC,10,WorstState,335,9
670,GENETIC,10,BestState,336,2
671,GENETIC,10,WorstState,336,9
672,GENETIC,10,BestState,337,2
673,GENETIC,10,WorstState,337,10
674,GENETIC,10,BestState,338,2
675,GENETIC,10,WorstState,338,8
676,GENETIC,10,BestState,339,2
677,GENETIC,10,WorstState,339,9
678,GENETIC,10,BestState,340,2
679,GENETIC,10,WorstState,340,10
680,GENETIC,10,BestState,341,2
681,GENETIC,10,WorstState,341,10
682,GENETIC,10,BestState,342,2
683,GENETIC,10,WorstState,342,9
684,GENETIC,10,BestState,343,2
685,GENETIC,10,WorstState,343,9
686,GENETIC,10,BestState,344,2
687,GENETIC,10,WorstState,344,9
688,GENETIC,10,BestState,345,2
689,GENETIC,10,WorstState,345,9
690,GENETIC,10,BestState,346,2
691,GENETIC,10,WorstState,346,10
692,GENETIC,10,BestState,347,2
693,GENETIC,10,WorstState,347,9
694,GENETIC,10,BestState,348,2
695,GENETIC,10,WorstState,348,9
