,Algorithm,Size,Threatened_Queens,Amount_of_explored_states,Time
148,FOWARDCHECK,12,0,193,0.029734373092651367
149,BACKTRACKING,10,0,102,0.006285190582275391
150,FOWARDCHECK,10,0,83,0.06865429878234863
151,BACKTRACKING,4,0,8,0.0012085437774658203
152,FOWARDCHECK,4,0,8,0.00027680397033691406
153,FOWARDCHECK,8,0,88,0.003999471664428711
154,BACKTRACKING,10,0,102,0.0071675777435302734
155,FOWARDCHECK,10,0,83,0.004752159118652344
156,BACKTRACKING,15,0,1359,0.2131662368774414
157,BACKTRACKING,4,0,8,0.0001308917999267578
158,FOWARDCHECK,4,0,8,0.0
159,BACKTRACKING,12,0,261,0.024240970611572266
160,FOWARDCHECK,12,0,193,0.04094338417053223
161,FOWARDCHECK,15,0,1026,0.13677120208740234
162,BACKTRACKING,8,0,113,0.005221128463745117
163,FOWARDCHECK,8,0,88,0.0046617984771728516
164,BACKTRACKING,10,0,102,0.006165027618408203
165,FOWARDCHECK,10,0,83,0.005011081695556641
166,BACKTRACKING,4,0,8,0.001018524169921875
167,FOWARDCHECK,4,0,8,0.0
168,BACKTRACKING,12,0,261,0.035077571868896484
169,FOWARDCHECK,12,0,193,0.030090808868408203
170,BACKTRACKING,8,0,113,0.0059680938720703125
171,BACKTRACKING,4,0,8,0.000835418701171875
172,FOWARDCHECK,4,0,8,0.0
173,FOWARDCHECK,8,0,88,0.0036466121673583984
174,BACKTRACKING,15,0,1359,0.17896318435668945
175,FOWARDCHECK,15,0,1026,0.12204313278198242
176,BACKTRACKING,4,0,8,0.0
177,FOWARDCHECK,4,0,8,0.000993967056274414
178,BACKTRACKING,8,0,113,0.005951404571533203
179,FOWARDCHECK,8,0,88,0.003885030746459961
180,BACKTRACKING,12,0,261,0.08084487915039062
181,FOWARDCHECK,12,0,193,0.03087925910949707
182,BACKTRACKING,8,0,113,0.004993438720703125
183,BACKTRACKING,10,0,102,0.006073474884033203
184,FOWARDCHECK,10,0,83,0.020998001098632812
185,FOWARDCHECK,8,0,88,0.022419214248657227
186,BACKTRACKING,10,0,102,0.0060617923736572266
187,FOWARDCHECK,10,0,83,0.020145893096923828
188,BACKTRACKING,8,0,113,0.004941701889038086
189,BACKTRACKING,12,0,261,0.06444287300109863
190,FOWARDCHECK,12,0,193,0.015933990478515625
191,FOWARDCHECK,8,0,88,0.0040018558502197266
192,BACKTRACKING,10,0,102,0.0068743228912353516
193,FOWARDCHECK,10,0,83,0.007075071334838867
194,BACKTRACKING,8,0,113,0.004992485046386719
195,BACKTRACKING,10,0,102,0.005995035171508789
196,FOWARDCHECK,10,0,83,0.022870779037475586
197,BACKTRACKING,12,0,261,0.04897737503051758
198,FOWARDCHECK,8,0,88,0.003913402557373047
199,BACKTRACKING,15,0,1359,0.2098677158355713
200,FOWARDCHECK,15,0,1026,0.1969614028930664
201,BACKTRACKING,10,0,102,0.006868600845336914
202,BACKTRACKING,8,0,113,0.0068607330322265625
203,FOWARDCHECK,12,0,193,0.06421303749084473
204,FOWARDCHECK,10,0,83,0.021266698837280273
205,FOWARDCHECK,8,0,88,0.006146907806396484
206,BACKTRACKING,10,0,102,0.0069713592529296875
207,FOWARDCHECK,10,0,83,0.005087137222290039
208,BACKTRACKING,8,0,113,0.005557060241699219
209,FOWARDCHECK,8,0,88,0.00531315803527832
210,BACKTRACKING,10,0,102,0.005926609039306641
211,BACKTRACKING,12,0,261,0.07996773719787598
212,FOWARDCHECK,12,0,193,0.030730724334716797
213,FOWARDCHECK,10,0,83,0.0212252140045166
214,BACKTRACKING,15,0,1359,0.18508625030517578
215,FOWARDCHECK,15,0,1026,0.13998913764953613
216,BACKTRACKING,10,0,102,0.006045341491699219
217,FOWARDCHECK,10,0,83,0.004940986633300781
218,BACKTRACKING,8,0,113,0.005554676055908203
219,FOWARDCHECK,8,0,88,0.004063606262207031
220,BACKTRACKING,10,0,102,0.005997657775878906
221,BACKTRACKING,12,0,261,0.019129037857055664
222,FOWARDCHECK,12,0,193,0.028159618377685547
223,FOWARDCHECK,10,0,83,0.006077766418457031
224,BACKTRACKING,8,0,113,0.0060880184173583984
225,FOWARDCHECK,8,0,88,0.003910541534423828
226,BACKTRACKING,10,0,102,0.0064241886138916016
227,FOWARDCHECK,10,0,83,0.005067348480224609
228,BACKTRACKING,8,0,113,0.006102323532104492
229,FOWARDCHECK,8,0,88,0.004075050354003906
230,BACKTRACKING,12,0,261,0.1273193359375
231,FOWARDCHECK,12,0,193,0.012884140014648438
232,BACKTRACKING,15,0,1359,0.18592286109924316
233,FOWARDCHECK,15,0,1026,0.14210104942321777
234,BACKTRACKING,10,0,102,0.006062746047973633
235,FOWARDCHECK,10,0,83,0.020487308502197266
236,BACKTRACKING,12,0,261,0.03309130668640137
237,FOWARDCHECK,12,0,193,0.028701066970825195
238,BACKTRACKING,10,0,102,0.0056569576263427734
239,FOWARDCHECK,10,0,83,0.053791046142578125
240,BACKTRACKING,10,0,102,0.00655055046081543
241,FOWARDCHECK,10,0,83,0.03534746170043945
242,BACKTRACKING,12,0,261,0.06733536720275879
243,FOWARDCHECK,12,0,193,0.046869516372680664
244,BACKTRACKING,10,0,102,0.00607752799987793
245,FOWARDCHECK,10,0,83,0.025651931762695312
246,BACKTRACKING,12,0,261,0.021674156188964844
247,FOWARDCHECK,12,0,193,0.044805049896240234
248,BACKTRACKING,12,0,261,0.034842729568481445
249,FOWARDCHECK,12,0,193,0.029217243194580078
250,BACKTRACKING,12,0,261,0.0347592830657959
251,FOWARDCHECK,12,0,193,0.029598236083984375
252,BACKTRACKING,15,0,1359,0.2957763671875
253,FOWARDCHECK,15,0,1026,0.15213537216186523
254,BACKTRACKING,12,0,261,0.03321337699890137
255,FOWARDCHECK,12,0,193,0.017030000686645508
256,BACKTRACKING,12,0,261,0.03436923027038574
257,FOWARDCHECK,12,0,193,0.028781890869140625
258,BACKTRACKING,12,0,261,0.034421682357788086
259,FOWARDCHECK,12,0,193,0.028711795806884766
260,BACKTRACKING,12,0,261,0.034722089767456055
261,FOWARDCHECK,12,0,193,0.02911972999572754
262,BACKTRACKING,12,0,261,0.03464841842651367
263,FOWARDCHECK,12,0,193,0.012133121490478516
264,BACKTRACKING,15,0,1359,0.24986839294433594
265,FOWARDCHECK,15,0,1026,0.10307145118713379
266,BACKTRACKING,15,0,1359,0.11740565299987793
267,FOWARDCHECK,15,0,1026,0.08472323417663574
268,BACKTRACKING,15,0,1359,0.11792445182800293
269,FOWARDCHECK,15,0,1026,0.09003829956054688
270,BACKTRACKING,15,0,1359,0.1081383228302002
271,FOWARDCHECK,15,0,1026,0.07692241668701172
272,BACKTRACKING,15,0,1359,0.09905481338500977
273,FOWARDCHECK,15,0,1026,0.06888604164123535
274,BACKTRACKING,15,0,1359,0.09046244621276855
275,FOWARDCHECK,15,0,1026,0.06576371192932129
276,BACKTRACKING,15,0,1359,0.08594608306884766
277,FOWARDCHECK,15,0,1026,0.058718204498291016
278,BACKTRACKING,15,0,1359,0.0799098014831543
279,FOWARDCHECK,15,0,1026,0.05666351318359375
280,BACKTRACKING,15,0,1359,0.08353686332702637
281,FOWARDCHECK,15,0,1026,0.056699275970458984
282,BACKTRACKING,15,0,1359,0.08434772491455078
283,FOWARDCHECK,15,0,1026,0.058068275451660156
284,BACKTRACKING,15,0,1359,0.08088874816894531
285,FOWARDCHECK,15,0,1026,0.057045698165893555
286,BACKTRACKING,15,0,1359,0.08190345764160156
287,FOWARDCHECK,15,0,1026,0.058948516845703125
288,BACKTRACKING,15,0,1359,0.08501315116882324
289,FOWARDCHECK,15,0,1026,0.058910369873046875
290,BACKTRACKING,15,0,1359,0.07936763763427734
291,FOWARDCHECK,15,0,1026,0.05574369430541992
292,BACKTRACKING,15,0,1359,0.07779812812805176
293,FOWARDCHECK,15,0,1026,0.05559134483337402
294,BACKTRACKING,15,0,1359,0.07882499694824219
295,FOWARDCHECK,15,0,1026,0.05593752861022949
296,BACKTRACKING,15,0,1359,0.07999992370605469
297,FOWARDCHECK,15,0,1026,0.06228327751159668
298,BACKTRACKING,15,0,1359,0.07895588874816895
299,FOWARDCHECK,15,0,1026,0.054697513580322266
